participant_id,mapping,trial_number,presentation_order,completion_time_s,final_position_error,final_orientation_error_deg,mode_switches,path_length
P01,2,1,1,30.005,0.0058,0.85,3,1.8981
P01,2,2,2,34.649,0.0166,4.85,4,12.9682
P01,2,3,3,37.514,0.0200,1.75,3,3.8998
P01,1,1,1,36.635,0.0627,3.59,2,3.3706
P01,1,2,2,9.621,0.1203,4.58,1,1.2472
P01,1,3,3,32.043,0.2589,5.91,4,1.8181
P02,2,1,1,86.615,0.0450,0.55,7,21.4507
P02,2,2,2,86.561,0.0518,30.17,11,21.3734
P02,2,3,3,40.875,0.0716,3.22,8,2.0801
P02,1,1,1,64.466,0.1131,5.68,1,2.1682
P02,1,2,2,67.711,0.0982,16.30,4,1.8470
P02,1,3,3,35.428,0.3101,3.47,6,20.5927
P03,1,1,1,70.688,0.2640,4.48,3,7.2806
P03,1,2,2,31.552,0.0184,2.48,6,7.7277
P03,1,3,3,23.744,0.0366,1.63,4,1.7290
P03,1,4,4,78.112,0.3023,1.81,8,4.4258
P03,2,1,1,122.707,0.0156,0.41,1,1.7881
P03,2,2,2,127.647,0.0093,0.28,4,7.4432
P03,2,3,3,76.512,0.0166,0.38,2,6.5711
P04,1,1,1,93.849,0.5116,17.67,13,17.4829
P04,1,2,2,158.640,0.3430,7.37,19,30.0338
P04,1,3,3,52.554,0.0654,7.83,8,13.0566
P04,2,1,1,44.783,0.0037,2.56,3,4.2526
P04,2,2,2,31.760,0.0106,3.44,4,1.0922
P04,2,4,3,28.225,0.0145,4.09,4,1.1943
P05,1,1,1,68.347,0.2184,6.50,6,7.2050
P05,1,2,2,51.283,0.1392,20.20,4,4.8123
P05,1,3,3,44.516,0.0907,42.30,3,3.1078
P05,2,1,1,62.748,0.0148,5.23,4,3.6015
P05,2,2,2,48.291,0.0083,1.87,3,2.0894
P05,2,3,3,41.673,0.0121,3.74,2,1.6450
